ghostscript 9.53.3-3.1
giflib 5.2.1-2
gimp 2.10.22-2
gimp-nufraw 0.43.3-2
girara 0.3.5-1
git 2.31.0-1
gl2ps 1.4.2-2
glew 2.2.0-2
glib-networking 1:2.68.0-1.1
glib2 2.68.0-3
glib2-docs 2.68.0-3
glibc 2.33-4
glibmm 2.66.0-1
glm 0.9.9.8-1
glslang 11.2.0-3
glu 9.0.1-2
gmic 2.9.6-1
gmime3 3.2.7-1
gmp 6.2.1-1
gn 0.1877.595e3be7-1
gnome-desktop 1:3.38.4-1
gnome-keyring 1:3.36.0-3
gnupg 2.2.27-1
gnutls 3.7.1-1
go 2:1.16.2-1
go-tools 2:1.16+4895+c1934b75d0-3.1
gobject-introspection-runtime 1.68.0-1.1
google-cloud-sdk 323.0.0-1
gotop 4.0.0-1
gparted 1.2.0-2
gperf 3.1-3
gpgme 1.15.1-1
gpm 1.20.7.r38.ge82d1a6-3
gptfdisk 1.0.7-1
graphene 1.10.4-1
graphicsmagick 1.3.36-1
graphite 1:1.3.14-1
graphviz 2.46.1-1
grep 3.6-1
groff 1.22.4-4
grub 2:2.04-10
gsasl 1.10.0-1
gsettings-desktop-schemas 3.38.0-1
gsfonts 20200910-1
gsm 1.0.19-1
gspell 1.8.4-1
gssproxy 0.8.4-1
gst-plugins-base 1.18.4-1
gst-plugins-base-libs 1.18.4-1
gstreamer 1.18.4-1
gtk-doc 1.33.2-1
gtk-engine-murrine 0.98.2-4
gtk-engines 2.21.0-5
gtk-sharp-2 2.12.45-4
gtk-theme-arc-gruvbox-git r12.e5ea0ff-1
gtk-update-icon-cache 1:4.0.3-2
gtk2 2.24.33-2
gtk3 1:3.24.27-4
gtkimageview 1.6.4-7
gtkmm 1:2.24.5-4
gtkmm3 3.24.4-1
gts 0.7.6.121130-2
guile 2.2.6-2
guile2.0 2.0.14-4
gumbo-parser 0.10.1-2
gvfs 1.48.0-2
gvfs-mtp 1.48.0-2
gzip 1.10-3
harfbuzz 2.8.0-1
harfbuzz-icu 2.8.0-1
haskell-aeson 1.5.6.0-11
haskell-aeson-pretty 0.8.8-149
haskell-ansi-terminal 0.11-100
haskell-asn1-encoding 0.9.6-100
haskell-asn1-parse 0.9.5-100
haskell-asn1-types 0.3.4-79
haskell-assoc 1.0.2-69
haskell-async 2.2.3-21
haskell-attoparsec 0.13.2.5-15
haskell-base-compat 0.11.2-4
haskell-base-compat-batteries 0.11.2-93
haskell-base-orphans 0.8.4-81
haskell-base16-bytestring 1.0.1.0-38
haskell-base64-bytestring 1.2.0.1-45
haskell-basement 0.0.11-10
haskell-bifunctors 5.5.10-53
haskell-blaze-builder 0.4.2.1-2
haskell-blaze-html 0.9.1.2-101
haskell-blaze-markup 0.8.2.8-7
haskell-byteable 0.1.1-22
haskell-case-insensitive 1.2.1.0-81
haskell-cereal 0.5.8.1-9
haskell-citeproc 0.3.0.9-5
haskell-cmdargs 0.10.21-1
haskell-colour 2.3.5-158
haskell-commonmark 0.1.1.4-14
haskell-commonmark-extensions 0.2.0.4-45
haskell-commonmark-pandoc 0.2.0.1-85
haskell-comonad 5.0.8-67
haskell-conduit 1.3.4.1-8
haskell-conduit-extra 1.3.5-120
haskell-connection 0.3.1-111
haskell-cookie 0.4.5-9
haskell-cryptonite 0.28-21
haskell-data-default 0.7.1.1-132
haskell-data-default-class 0.1.2.0-21
haskell-data-default-instances-containers 0.0.1-33
haskell-data-default-instances-dlist 0.0.1-145
haskell-data-default-instances-old-locale 0.0.1-33
haskell-data-fix 0.3.1-17
haskell-digest 0.0.1.2-22
haskell-distributive 0.6.2.1-71
haskell-dlist 1.0-68
haskell-doclayout 0.3.0.2-3
haskell-doctemplates 0.9-36
haskell-emojis 0.1-89
haskell-erf 2.0.0.0-21
haskell-errors 2.3.0-59
haskell-file-embed 0.0.13.0-3
haskell-glob 0.10.1-70
haskell-haddock-library 1.10.0-4
haskell-hashable 1.3.1.0-19
haskell-hourglass 0.2.12-124
haskell-hslua 1.3.0.1-21
haskell-hslua-module-system 0.2.2.1-76
haskell-hslua-module-text 0.3.0.1-64
haskell-hsyaml 0.2.1.0-94
haskell-http 4000.3.16-2
haskell-http-client 0.7.6-11
haskell-http-client-tls 0.3.5.3-402
haskell-http-types 0.12.3-147
haskell-hxt 9.3.1.22-2
haskell-hxt-charproperties 9.5.0.0-1
haskell-hxt-regex-xmlschema 9.2.0.7-2
haskell-hxt-unicode 9.0.2.4-22
haskell-indexed-traversable 0.1.1-3
haskell-integer-logarithms 1.0.3.1-3
haskell-ipynb 0.1.0.1-188
haskell-jira-wiki-markup 1.3.4-3
haskell-juicypixels 3.3.5-80
haskell-memory 0.15.0-91
haskell-mime-types 0.1.0.9-11
haskell-mono-traversable 1.0.15.1-121
haskell-network 3.1.2.1-43
haskell-network-uri 2.6.4.1-11
haskell-old-locale 1.0.0.7-27
haskell-old-time 1.1.0.3-27
haskell-pandoc-types 1.22-67
haskell-pem 0.2.4-156
haskell-primitive 0.7.1.0-112
haskell-quickcheck 2.14.2-134
haskell-random 1.2.0-188
haskell-resourcet 1.2.4.2-73
haskell-safe 0.3.19-5
haskell-scientific 0.3.6.2-95
haskell-sha 1.6.4.4-16
haskell-skylighting 0.10.4.1-4
haskell-skylighting-core 0.10.4.1-4
haskell-socks 0.6.1-101
haskell-split 0.2.3.4-123
haskell-splitmix 0.1.0.3-88
haskell-streaming-commons 0.2.2.1-71
haskell-strict 0.4.0.1-43
haskell-syb 0.7.2.1-37
haskell-tagged 0.8.6.1-2
haskell-tagsoup 0.14.8-104
haskell-temporary 1.3-236
haskell-texmath 0.12.2-4
haskell-text-conversions 0.3.1-59
haskell-text-icu 0.7.0.1-37
haskell-th-abstraction 0.4.2.0-2
haskell-th-compat 0.1.2-4
haskell-these 1.1.1.1-70
haskell-time-compat 1.9.5-43
haskell-tls 1.5.5-15
haskell-transformers-compat 0.6.6-3
haskell-typed-process 0.2.6.0-105
haskell-unicode-transforms 0.3.7.1-54
haskell-uniplate 1.6.13-47
haskell-unliftio-core 0.2.0.1-6
haskell-unordered-containers 0.2.13.0-54
haskell-utf8-string 1.0.2-28
haskell-uuid-types 1.0.4-3
haskell-vector 0.12.2.0-47
haskell-vector-algorithms 0.8.0.4-43
haskell-x509 1.7.5-135
haskell-x509-store 1.6.7-134
haskell-x509-system 1.6.6-202
haskell-x509-validation 1.6.11-134
haskell-xml 1.3.14-27
haskell-xml-conduit 1.9.1.0-9
haskell-xml-types 0.3.8-5
haskell-zip-archive 0.4.1-109
haskell-zlib 0.6.2.3-11
haveged 1.9.14-1
haveged-openrc 20200709-1
hdf5 1.12.0-2.2
hdparm 9.60-1
help2man 1.48.2-1
hicolor-icon-theme 0.17-2
hidapi 0.10.1-1
highlight 3.62-1
hiredis 1.0.0-1
hspell 1.4-3
htop 3.0.5-1
http-parser 2.9.4-1
hunspell 1.7.0-3
hunspell-en_US 2020.12.07-1
hwids 20201207-1
hwloc 2.4.0-1
hyphen 2.8.8-3
i2c-tools-git r369.202054c-1
iana-etc 20210202-1
ibus 1.5.24-1
icu 68.2-1
id3lib 3.8.3-18
ijs 0.35-3
imake 1.0.8-2
